Material,Second Derivative
38-1456-03,3.1044169427984337e-06
38-1456-03,0.0
38-1456-03,3.1040957292193054e-06
38-1456-03,0.0
38-1456-03,-1.2415098328421964e-05
38-1456-03,1.2414456133866694e-05
38-1456-03,-6.206907002873416e-06
38-1456-03,9.309878958034576e-06
38-1456-03,-6.2062649743798515e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.102809033004879e-06
38-1456-03,9.307945752711967e-06
38-1456-03,-3.102488152062779e-06
38-1456-03,-1.24093109459147e-05
38-1456-03,1.5510836687412183e-05
38-1456-03,-1.240802782028597e-05
38-1456-03,6.203693178486538e-06
38-1456-03,0.0
38-1456-03,3.1015259073246994e-06
38-1456-03,0.0
38-1456-03,-9.303615875118484e-06
38-1456-03,9.303132208631105e-06
38-1456-03,-3.1008828641432637e-06
38-1456-03,9.302165026508077e-06
38-1456-03,-9.301684327604521e-06
38-1456-03,-6.200802452253536e-06
38-1456-03,1.2400964105101795e-05
38-1456-03,-9.300242528936325e-06
38-1456-03,1.3766413237062497e-18
38-1456-03,9.29928157811249e-06
38-1456-03,-3.0996003923893676e-06
38-1456-03,-6.198880550566201e-06
38-1456-03,3.0992801747198014e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,3.09879997225383e-06
38-1456-03,-6.197279875662547e-06
38-1456-03,3.098479084687454e-06
38-1456-03,3.098318251442685e-06
38-1456-03,-3.0981574348938423e-06
38-1456-03,0.0
38-1456-03,-3.0978375152828404e-06
38-1456-03,3.097677580252534e-06
38-1456-03,3.0975176617356142e-06
38-1456-03,0.0
38-1456-03,-3.097197874231704e-06
38-1456-03,-3.0970380052395992e-06
38-1456-03,1.2387512611003995e-05
38-1456-03,-9.290314783973597e-06
38-1456-03,-3.096665043898233e-06
38-1456-03,-3.0965584972706497e-06
38-1456-03,6.192797388554459e-06
38-1456-03,3.0962389077753755e-06
38-1456-03,-6.192156403120477e-06
38-1456-03,0.0
38-1456-03,1.2383027356688961e-05
38-1456-03,-1.238238847562548e-05
38-1456-03,3.095437415120637e-06
38-1456-03,0.0
38-1456-03,3.0951180569793773e-06
38-1456-03,-3.0949584026187517e-06
38-1456-03,-3.094798764728063e-06
38-1456-03,3.0946391433047635e-06
38-1456-03,6.188959076693984e-06
38-1456-03,-9.282959849553167e-06
38-1456-03,3.0941603778150953e-06
38-1456-03,6.188001644470381e-06
38-1456-03,-6.187682566221253e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-6.186722198905789e-06
38-1456-03,1.2372803188302847e-05
38-1456-03,-3.093041340444071e-06
38-1456-03,-6.185763800499441e-06
38-1456-03,3.0927224764935537e-06
38-1456-03,-3.0925630691716538e-06
38-1456-03,9.27721103484444e-06
38-1456-03,-6.184488607640984e-06
38-1456-03,-3.0920849457861494e-06
38-1456-03,9.27577681252774e-06
38-1456-03,-9.275298836961734e-06
38-1456-03,3.091606970217605e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.0911291423974808e-06
38-1456-03,3.0909689661622598e-06
38-1456-03,3.090808806526214e-06
38-1456-03,-6.1812973269735266e-06
38-1456-03,3.0904894698676037e-06
38-1456-03,6.18066058529428e-06
38-1456-03,-1.236068452729135e-05
38-1456-03,6.180023974784326e-06
38-1456-03,9.269558578059128e-06
38-1456-03,-1.235877499080903e-05
38-1456-03,1.3720290026051037e-18
38-1456-03,6.178751147110215e-06
38-1456-03,-3.089268700836767e-06
38-1456-03,-3.089161838693376e-06
38-1456-03,3.089054980761999e-06
38-1456-03,3.08889595127161e-06
38-1456-03,-6.177473876309126e-06
38-1456-03,1.235431176563469e-05
38-1456-03,-1.8530513766185032e-05
38-1456-03,1.8529559982111894e-05
38-1456-03,-6.1762020987398376e-06
38-1456-03,-9.26382356037553e-06
38-1456-03,6.175562681529792e-06
38-1456-03,0.0
38-1456-03,-3.0874626293533656e-06
38-1456-03,1.2349215055077648e-05
38-1456-03,-1.543572457266884e-05
38-1456-03,3.086986081642403e-06
38-1456-03,6.17365453019683e-06
38-1456-03,-3.0866684648921527e-06
38-1456-03,3.086509681022465e-06
38-1456-03,-3.086350913489573e-06
38-1456-03,6.1723843245791705e-06
38-1456-03,-1.5430167137099906e-05
38-1456-03,6.171749417755109e-06
38-1456-03,3.0857160066632147e-06
38-1456-03,9.256671962306194e-06
38-1456-03,-1.234159129193199e-05
38-1456-03,6.170476689717026e-06
38-1456-03,-3.0850788832197386e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,6.1688889991618984e-06
38-1456-03,-9.252857833302709e-06
38-1456-03,3.0841274055878943e-06
38-1456-03,-3.0839688830373553e-06
38-1456-03,9.251431130351277e-06
38-1456-03,-3.0836518868232224e-06
38-1456-03,-1.2333973652603351e-05
38-1456-03,1.2333339823068241e-05
38-1456-03,-3.0831765146680097e-06
38-1456-03,3.0830180898532305e-06
38-1456-03,-3.082858753091084e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.0823817695458523e-06
38-1456-03,6.1644468527817326e-06
38-1456-03,-1.3687118547444373e-18
38-1456-03,-1.2327627155519006e-05
38-1456-03,1.2326993978078548e-05
38-1456-03,-3.0815902164191254e-06
38-1456-03,3.0814319545777636e-06
38-1456-03,-1.3683604067566703e-18
38-1456-03,-6.162230959306474e-06
38-1456-03,3.080957266567801e-06
38-1456-03,0.0
38-1456-03,-3.080640889138067e-06
38-1456-03,6.160965449574792e-06
38-1456-03,-0.0035608542600261473
38-1456-03,0.003597632486769204
38-1456-03,-2.464004687620943e-05
38-1456-03,-1.3677271583629188e-18
38-1456-03,-2.4637517419610245e-05
38-1456-03,2.77157844968056e-05
38-1456-03,-1.8476241361715046e-05
38-1456-03,-6.158431052076228e-06
38-1456-03,1.2316230032040173e-05
38-1456-03,6.157799012397354e-06
38-1456-03,-1.539370760301716e-05
38-1456-03,1.367165736718613e-18
38-1456-03,3.078425598045992e-06
38-1456-03,-3.0782676610799003e-06
38-1456-03,1.2312438961276241e-05
38-1456-03,-1.5389759178802503e-05
38-1456-03,3.0777930222244352e-06
38-1456-03,3.0776342250739887e-06
38-1456-03,9.232426332931902e-06
38-1456-03,-9.231952814463744e-06
38-1456-03,0.0
38-1456-03,-3.0770019744106277e-06
38-1456-03,1.2307376733931277e-05
38-1456-03,-2.4613491269902335e-05
38-1456-03,2.461222920138446e-05
38-1456-03,-1.5381854538929947e-05
38-1456-03,1.84572790894416e-05
38-1456-03,-1.2304221886134692e-05
38-1456-03,-3.075897777663517e-06
38-1456-03,-3.0757400999625804e-06
38-1456-03,1.537791219212242e-05
38-1456-03,-1.5377123965247374e-05
38-1456-03,1.2301064960699773e-05
38-1456-03,-3.0751077036481616e-06
38-1456-03,-1.5374745917333013e-05
38-1456-03,1.537395801500696e-05
38-1456-03,6.149268077369512e-06
38-1456-03,-2.767028841465998e-05
38-1456-03,3.3817508543446853e-05
38-1456-03,-9.222484327844536e-06
38-1456-03,-9.222011828627483e-06
38-1456-03,6.147692918548045e-06
38-1456-03,-3.0736889918069495e-06
38-1456-03,-1.8441189242830047e-05
38-1456-03,3.688048926321045e-05
38-1456-03,-1.536608343095621e-05
38-1456-03,-0.0003226712247401914
38-1456-03,0.00031650889533039523
38-1456-03,9.218231112811349e-06
38-1456-03,-6.145171063126208e-06
38-1456-03,0.0
38-1456-03,-3.072270053028886e-06
38-1456-03,-3.0721127470290155e-06
38-1456-03,1.2287821828548185e-05
38-1456-03,-3.0717981833505033e-06
38-1456-03,3.071640925668278e-06
38-1456-03,-9.214451052252777e-06
38-1456-03,-1.3639429401908395e-18
38-1456-03,6.1423384984210035e-06
38-1456-03,-6.1420241118280015e-06
38-1456-03,6.141709757416185e-06
38-1456-03,-1.2282790870358503e-05
38-1456-03,1.2282162290228613e-05
38-1456-03,6.1407668872170916e-06
38-1456-03,-9.210676230318191e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,3.069595279254348e-06
38-1456-03,-9.20831474110539e-06
38-1456-03,9.20784369264534e-06
38-1456-03,0.0
38-1456-03,-3.0689672467628245e-06
38-1456-03,3.068810278792289e-06
38-1456-03,-6.1373066537555246e-06
38-1456-03,-3.0684963910167823e-06
38-1456-03,9.205018413620657e-06
38-1456-03,-3.0681825674456097e-06
38-1456-03,0.0
38-1456-03,1.2271475232237655e-05
38-1456-03,-1.2270844547287494e-05
38-1456-03,-3.0675534817899935e-06
38-1456-03,6.134791679651301e-06
38-1456-03,-6.134478065109694e-06
38-1456-03,-1.3620581290910662e-18
38-1456-03,3.06697772377405e-06
38-1456-03,3.0668732102191827e-06
38-1456-03,-1.2267074827685773e-05
38-1456-03,2.1466283746327277e-05
38-1456-03,-1.8398731419735127e-05
38-1456-03,9.198895576510398e-06
38-1456-03,3.066141830398304e-06
38-1456-03,-1.8395910907866974e-05
38-1456-03,1.8394970929406194e-05
38-1456-03,-1.3614317856032084e-18
38-1456-03,-6.1310304202103395e-06
38-1456-03,-6.130715354662951e-06
38-1456-03,6.130504719272586e-06
38-1456-03,0.0
38-1456-03,6.130085320702998e-06
38-1456-03,-6.129772187148801e-06
38-1456-03,-9.19418862837675e-06
38-1456-03,1.2258292032007663e-05
38-1456-03,9.19324946759944e-06
38-1456-03,-2.1449819904705094e-05
38-1456-03,6.128206999114624e-06
38-1456-03,1.2255788114841705e-05
38-1456-03,-1.225516229537335e-05
38-1456-03,3.063634134953598e-06
38-1456-03,3.06347771203876e-06
38-1456-03,-3.063321305096377e-06
38-1456-03,0.0
38-1456-03,3.0630077228835545e-06
38-1456-03,-3.06285055090234e-06
38-1456-03,-3.0626933950502153e-06
38-1456-03,6.1250741363654035e-06
38-1456-03,-3.0623807572729344e-06
38-1456-03,-9.186673386955412e-06
38-1456-03,1.8372409099901195e-05
38-1456-03,-9.185735760797041e-06
38-1456-03,-9.18526701948741e-06
38-1456-03,1.836959665202877e-05
38-1456-03,-9.184329680370642e-06
38-1456-03,-3.061287027516286e-06
38-1456-03,6.122261688361145e-06
38-1456-03,1.359345825582712e-18
38-1456-03,-1.3592764804012911e-18
38-1456-03,-9.18198716933633e-06
38-1456-03,1.530252677678831e-05
38-1456-03,-9.181045011148718e-06
38-1456-03,6.120382669705057e-06
38-1456-03,-9.18010578988841e-06
38-1456-03,-9.179637622971849e-06
38-1456-03,1.835833900761614e-05
38-1456-03,-3.0595671441290172e-06
38-1456-03,-1.2237644544925807e-05
38-1456-03,1.2237020576976705e-05
38-1456-03,-3.05909916816374e-06
38-1456-03,9.176829623955995e-06
38-1456-03,-1.2235149054839659e-05
38-1456-03,6.117262670667399e-06
38-1456-03,-3.0584754228542548e-06
38-1456-03,0.0
38-1456-03,-6.1163272911519046e-06
38-1456-03,1.2232027868798573e-05
38-1456-03,-6.115700615986962e-06
38-1456-03,3.057693661722405e-06
38-1456-03,-6.115075689641857e-06
38-1456-03,3.057382043799179e-06
38-1456-03,3.057226258654728e-06
38-1456-03,-6.114140978770299e-06
38-1456-03,3.056914735988017e-06
38-1456-03,3.0567589984609047e-06
38-1456-03,-6.113206553602772e-06
38-1456-03,3.056447571007038e-06
38-1456-03,-3.0562918810740776e-06
38-1456-03,-3.0561362070027956e-06
38-1456-03,1.8335883292737824e-05
38-1456-03,-9.167474719295863e-06
38-1456-03,-6.111338559853289e-06
38-1456-03,6.111025514881388e-06
38-1456-03,-6.110712501978448e-06
38-1456-03,3.055199760569768e-06
38-1456-03,0.0
38-1456-03,6.109777301467918e-06
38-1456-03,-9.164199358724977e-06
38-1456-03,6.109155208504184e-06
38-1456-03,-3.054422104762839e-06
38-1456-03,-3.054266621104817e-06
38-1456-03,3.054111153275607e-06
38-1456-03,3.053955701272793e-06
38-1456-03,-3.053800265093957e-06
38-1456-03,-6.107289689473369e-06
38-1456-03,1.5267447200992794e-05
38-1456-03,-1.2213336205908665e-05
38-1456-03,6.106357357140182e-06
38-1456-03,-6.106045027318689e-06
38-1456-03,1.2211465458893043e-05
38-1456-03,-2.1368971600566887e-05
38-1456-03,1.526277459612603e-05
38-1456-03,6.104799251201473e-06
38-1456-03,-1.2208977391101297e-05
38-1456-03,-1.3553998304816696e-18
38-1456-03,6.103867679031919e-06
38-1456-03,-3.0517786090758306e-06
38-1456-03,9.154870183273522e-06
38-1456-03,-1.2205872782249168e-05
38-1456-03,3.05131301248542e-06
38-1456-03,-6.102315690382967e-06
38-1456-03,9.153008081034226e-06
38-1456-03,-3.050847557942787e-06
38-1456-03,-6.101384875967781e-06
38-1456-03,6.101072849867147e-06
38-1456-03,9.151141283517889e-06
38-1456-03,-1.5251122233494399e-05
38-1456-03,3.0500693900936238e-06
38-1456-03,1.5249571746277678e-05
38-1456-03,-1.2199037296706359e-05
38-1456-03,-6.099208629712693e-06
38-1456-03,-6.098898642587108e-06
38-1456-03,2.744364909135368e-05
38-1456-03,-6.0982787628512736e-06
38-1456-03,-9.14695330535254e-06
38-1456-03,-6.097659009111987e-06
38-1456-03,9.14602376921671e-06
38-1456-03,-9.145559071990845e-06
38-1456-03,6.096729614655464e-06
38-1456-03,-6.096419879457257e-06
38-1456-03,1.8288325696060127e-05
38-1456-03,-1.5239493192123701e-05
38-1456-03,3.0477430131641966e-06
38-1456-03,0.0
38-1456-03,3.0474334200337305e-06
38-1456-03,-6.094557294107821e-06
38-1456-03,1.3531948405336392e-18
38-1456-03,6.093938296503534e-06
38-1456-03,3.0468144224273605e-06
38-1456-03,-3.0466597123148324e-06
38-1456-03,-6.093010035823578e-06
38-1456-03,0.0
38-1456-03,9.138587028694048e-06
38-1456-03,-6.092082057895632e-06
38-1456-03,3.0458863973655515e-06
38-1456-03,-1.8274390688894337e-05
38-1456-03,2.131903392769367e-05
38-1456-03,-1.3524385101451375e-18
38-1456-03,-6.090633665902003e-06
38-1456-03,0.0
38-1456-03,-9.135332273959947e-06
38-1456-03,1.826973732502533e-05
38-1456-03,-1.826881019623776e-05
38-1456-03,2.4357177548724255e-05
38-1456-03,-1.8266956220927646e-05
38-1456-03,3.044338229063195e-06
38-1456-03,3.0441837703127235e-06
38-1456-03,-3.0440293272348185e-06
38-1456-03,3.043874899825742e-06
38-1456-03,-6.087440976171625e-06
38-1456-03,-3.043566092012646e-06
38-1456-03,3.0434117116011543e-06
38-1456-03,1.217302617677406e-05
38-1456-03,-1.351408491566267e-18
38-1456-03,-1.2171785015022207e-05
38-1456-03,3.0427919362168306e-06
38-1456-03,-6.0852752686583755e-06
38-1456-03,-1.3511340260355176e-18
38-1456-03,-3.0423290774976145e-06
38-1456-03,1.825304893529624e-05
38-1456-03,3.04202058324179e-06
38-1456-03,-1.8251198157444357e-05
38-1456-03,1.2166848606170719e-05
38-1456-03,-6.083115918291895e-06
38-1456-03,3.0414037823812594e-06
38-1456-03,-3.041249621246239e-06
38-1456-03,-3.0410954757385096e-06
38-1456-03,-3.0409413458556946e-06
38-1456-03,1.520393164265946e-05
38-1456-03,-1.2162525308047376e-05
38-1456-03,6.08095268258627e-06
38-1456-03,1.3501743164217312e-18
38-1456-03,-6.080336445285336e-06
38-1456-03,3.040014186733887e-06
38-1456-03,-6.079720332864018e-06
38-1456-03,1.2158824646949456e-05
38-1456-03,-6.0791043452924575e-06
38-1456-03,0.0
38-1456-03,-9.117732723795013e-06
38-1456-03,1.5195451494850866e-05
38-1456-03,1.3495588523458692e-18
38-1456-03,-1.3494905020830225e-18
38-1456-03,-6.077257131280746e-06
38-1456-03,-6.07694937141488e-06
38-1456-03,1.215327967903962e-05
38-1456-03,-9.114495508733101e-06
38-1456-03,0.0
38-1456-03,3.0378566178233256e-06
38-1456-03,0.0
38-1456-03,-3.0375490298772623e-06
38-1456-03,1.2149581037038145e-05
38-1456-03,-1.8223449025261256e-05
38-1456-03,2.1259614353086403e-05
38-1456-03,-2.7332406367256246e-05
38-1456-03,1.2147121329787411e-05
38-1456-03,1.8219759837874816e-05
38-1456-03,-1.5182364812005223e-05
38-1456-03,0.0
38-1456-03,3.0361656545701256e-06
38-1456-03,-3.036012023979558e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.0355488266204087e-06
38-1456-03,3.035395258445157e-06
38-1456-03,-9.105725117422717e-06
38-1456-03,1.821052901222639e-05
38-1456-03,-6.069869294267903e-06
38-1456-03,-6.0695622821855015e-06
38-1456-03,9.10388295174139e-06
38-1456-03,-6.068948351186768e-06
38-1456-03,0.0
38-1456-03,-6.0683345443713095e-06
38-1456-03,9.102041531280887e-06
38-1456-03,1.3473046815320177e-18
38-1456-03,-3.0337070334566133e-06
38-1456-03,0.0
38-1456-03,-9.10019815954533e-06
38-1456-03,2.123271596003216e-05
38-1456-03,-1.21323636138651e-05
38-1456-03,3.032937583875997e-06
38-1456-03,-6.065568559571129e-06
38-1456-03,-1.5163154955964142e-05
38-1456-03,3.942221033522509e-05
38-1456-03,-2.1226271223417402e-05
38-1456-03,-6.064342436743836e-06
38-1456-03,1.2128071966975129e-05
38-1456-03,-6.063729561202121e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,3.0312520908373714e-06
38-1456-03,-6.062197914173036e-06
38-1456-03,3.0309450426323785e-06
38-1456-03,-1.2123164562987812e-05
38-1456-03,1.8183823545308444e-05
38-1456-03,-3.0304841859142668e-06
38-1456-03,0.0
38-1456-03,-3.0301780890202787e-06
38-1456-03,-9.090075191284313e-06
38-1456-03,1.211948821582908e-05
38-1456-03,-1.3454655432477023e-18
38-1456-03,-9.088698242110784e-06
38-1456-03,-3.02941311724806e-06
38-1456-03,1.2117040676964804e-05
38-1456-03,-6.058214473352388e-06
38-1456-03,2.4231634556417705e-05
38-1456-03,-2.120160992506626e-05
38-1456-03,3.028648531618315e-06
38-1456-03,-6.056989530050432e-06
38-1456-03,3.0283410140449976e-06
38-1456-03,-6.056374557347875e-06
38-1456-03,1.2112137817668133e-05
38-1456-03,-3.0278816455832432e-06
38-1456-03,-1.2110915408699752e-05
38-1456-03,6.055152148368811e-06
38-1456-03,-3.0274233116120003e-06
38-1456-03,2.421816451562563e-05
38-1456-03,-1.3443103664502696e-18
38-1456-03,-2.1188755814611074e-05
38-1456-03,-6.053624830893803e-06
38-1456-03,9.079979189777639e-06
38-1456-03,-6.053014119616187e-06
38-1456-03,3.026354405090542e-06
38-1456-03,3.0262017657758202e-06
38-1456-03,9.078145035592523e-06
38-1456-03,-1.2103579772909016e-05
38-1456-03,0.0
38-1456-03,1.5127944896520903e-05
38-1456-03,-1.5127182085932128e-05
38-1456-03,3.025283870453999e-06
38-1456-03,-3.0251313391018857e-06
38-1456-03,-3.024978823131252e-06
38-1456-03,1.512413161269215e-05
38-1456-03,-6.049347674640843e-06
38-1456-03,-9.073564102433435e-06
38-1456-03,1.343089600870998e-18
38-1456-03,6.048432947797487e-06
38-1456-03,6.0481281003202e-06
38-1456-03,-9.071734925355959e-06
38-1456-03,9.071277746316243e-06
38-1456-03,-3.0236059782289276e-06
38-1456-03,-6.046905446454391e-06
38-1456-03,1.3426146788816591e-18
38-1456-03,0.0
38-1456-03,1.209197934586341e-05
38-1456-03,-9.068527607529027e-06
38-1456-03,-3.0226902505662024e-06
38-1456-03,6.045075961262871e-06
38-1456-03,-6.04477145207457e-06
38-1456-03,1.342141281126717e-18
38-1456-03,6.044162525720432e-06
38-1456-03,3.021929054275347e-06
38-1456-03,-9.065330583058766e-06
38-1456-03,-1.3418709179785004e-18
38-1456-03,3.0214725204955287e-06
38-1456-03,0.0
38-1456-03,6.0423348943578014e-06
38-1456-03,-6.04202907931991e-06
38-1456-03,3.020861644575617e-06
38-1456-03,-6.041419117629713e-06
38-1456-03,0.0
38-1456-03,3.0204054332294015e-06
38-1456-03,3.020253393400082e-06
38-1456-03,0.0
38-1456-03,-6.039898719313404e-06
38-1456-03,6.0395947314760395e-06
38-1456-03,0.0
38-1456-03,-9.058480271385355e-06
38-1456-03,-3.019341475767621e-06
38-1456-03,6.038379086060219e-06
38-1456-03,1.8114225753495057e-05
38-1456-03,-2.1132200063958937e-05
38-1456-03,9.056198839607317e-06
38-1456-03,0.0
38-1456-03,-3.018427439147114e-06
38-1456-03,-6.036551196764726e-06
38-1456-03,9.054371318680256e-06
38-1456-03,-9.053915888035274e-06
38-1456-03,1.508910083867135e-05
38-1456-03,-2.112367871641137e-05
38-1456-03,2.4140132989199666e-05
38-1456-03,-1.2069459498021937e-05
38-1456-03,-6.034426281245319e-06
38-1456-03,6.034222410533548e-06
38-1456-03,6.034018547528466e-06
38-1456-03,-6.033814698297725e-06
38-1456-03,3.016755661276778e-06
38-1456-03,-3.921585185255066e-05
38-1456-03,3.3180975644177865e-05
38-1456-03,1.8097804135007957e-05
38-1456-03,-1.5080745311465586e-05
38-1456-03,6.031994901324281e-06
38-1456-03,-9.047537562815349e-06
38-1456-03,1.206277709248059e-05
38-1456-03,-6.031085414409874e-06
38-1456-03,-3.0153911565267546e-06
38-1456-03,0.0
38-1456-03,-3.015087212996639e-06
38-1456-03,-9.044804460959275e-06
38-1456-03,-6.029564886096634e-06
38-1456-03,3.316094065650606e-05
38-1456-03,-2.4115836077748994e-05
38-1456-03,9.0429841976467e-06
38-1456-03,-6.028353274522466e-06
38-1456-03,9.042075671563007e-06
38-1456-03,-3.013873825658801e-06
38-1456-03,3.0137224426723383e-06
38-1456-03,3.0135710748939934e-06
38-1456-03,1.8080518333906104e-05
38-1456-03,-3.6159220619337574e-05
38-1456-03,1.5065585313858205e-05
38-1456-03,0.0
38-1456-03,-1.205125785606303e-05
38-1456-03,6.02532479560811e-06
38-1456-03,1.3378233409827979e-18
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,3.012055871093902e-06
38-1456-03,6.023809341349589e-06
38-1456-03,-1.2047013941739863e-05
38-1456-03,1.2046409261488524e-05
38-1456-03,9.034353481453354e-06
38-1456-03,-2.4090400166147768e-05
38-1456-03,9.033446688668223e-06
38-1456-03,-3.0109977868463717e-06
38-1456-03,-6.0216933852644635e-06
38-1456-03,1.2042782454336223e-05
38-1456-03,-6.0210890993924365e-06
38-1456-03,1.204157400386842e-05
38-1456-03,-3.0102415823810275e-06
38-1456-03,-6.020179358261132e-06
38-1456-03,0.0
38-1456-03,-3.0097868033566725e-06
38-1456-03,2.4077086645227245e-05
38-1456-03,-2.106639411166499e-05
38-1456-03,3.009333930680436e-06
38-1456-03,-3.0091830034051738e-06
38-1456-03,-3.0090320912680774e-06
38-1456-03,1.3362116720942416e-18
38-1456-03,0.0
38-1456-03,1.5042897228309763e-05
38-1456-03,-1.2033714376219288e-05
38-1456-03,6.016555515148152e-06
38-1456-03,-9.024380808654518e-06
38-1456-03,0.0
38-1456-03,6.015649109593035e-06
38-1456-03,-3.0076729948838375e-06
38-1456-03,9.022564341688619e-06
38-1456-03,-9.022112105094363e-06
38-1456-03,-1.5036099856386782e-05
38-1456-03,2.4056554047721843e-05
38-1456-03,-3.006918555757991e-06
38-1456-03,-9.020303611974156e-06
38-1456-03,3.0066172006576354e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.0061652812468405e-06
38-1456-03,1.2024058686521973e-05
38-1456-03,-1.5029320385524071e-05
38-1456-03,6.0114269953348045e-06
38-1456-03,0.0
38-1456-03,3.005411501874183e-06
38-1456-03,-3.0052600856908335e-06
38-1456-03,3.0051086847637683e-06
38-1456-03,-3.0049581809983172e-06
38-1456-03,-6.009615384614722e-06
38-1456-03,3.0046572186873027e-06
38-1456-03,1.2018027040562187e-05
38-1456-03,-9.013068949977809e-06
38-1456-03,3.00420588824321e-06
38-1456-03,-6.0081109497815445e-06
38-1456-03,6.0078101531984964e-06
38-1456-03,-3.003803936201769e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-3.003300991188405e-06
38-1456-03,3.0031506684320856e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-6.004197660672065e-06
38-1456-03,1.5009743139474787e-05
38-1456-03,-9.005395321449391e-06
38-1456-03,-3.0016474872411644e-06
38-1456-03,-6.002993092356521e-06
38-1456-03,1.200538249318834e-05
38-1456-03,-1.3327985365192249e-18
38-1456-03,3.001045384148784e-06
38-1456-03,-9.00268586129887e-06
38-1456-03,3.0007452050638954e-06
38-1456-03,3.000595138039348e-06
38-1456-03,-3.0004450860237304e-06
38-1456-03,3.0002950490161225e-06
38-1456-03,-3.000145027011608e-06
38-1456-03,-2.9999950200092685e-06
38-1456-03,2.999845028006855e-06
38-1456-03,-2.9996950510007846e-06
38-1456-03,2.999545088991473e-06
38-1456-03,5.99879028395201e-06
38-1456-03,-8.997732994180591e-06
38-1456-03,8.99728060792705e-06
38-1456-03,-5.997885511440353e-06
38-1456-03,-2.998792868917009e-06
38-1456-03,2.9986429970964067e-06
38-1456-03,-5.996986280512249e-06
38-1456-03,5.9966865967851705e-06
38-1456-03,5.996386943008418e-06
38-1456-03,-5.996087319177503e-06
38-1456-03,0.0
38-1456-03,-2.9977440806682797e-06
38-1456-03,5.995188627316226e-06
38-1456-03,-2.99744456161189e-06
38-1456-03,5.994589649052074e-06
38-1456-03,-8.991435307202921e-06
38-1456-03,2.996995395233128e-06
38-1456-03,-2.9968449216661394e-06
38-1456-03,1.1986777864807123e-05
38-1456-03,-8.989632077531352e-06
38-1456-03,2.996394378717204e-06
38-1456-03,-5.992489493070549e-06
38-1456-03,-8.988285387887268e-06
38-1456-03,1.797567316199709e-05
38-1456-03,-1.3304006517076335e-18
38-1456-03,-5.9912927344425195e-06
38-1456-03,-2.9954968097356576e-06
38-1456-03,2.9953472671826093e-06
38-1456-03,0.0
38-1456-03,2.995048226865229e-06
38-1456-03,-2.9948987290964252e-06
38-1456-03,-2.994749246251232e-06
38-1456-03,5.9891995566548325e-06
38-1456-03,-2.9944494495721e-06
38-1456-03,0.0
38-1456-03,2.994148837337226e-06
38-1456-03,-5.987998858677442e-06
38-1456-03,2.9938500362503866e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,2.993401946424096e-06
38-1456-03,-5.986505225908267e-06
38-1456-03,1.3292048770018052e-18
38-1456-03,2.9929539907076996e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,2.992605672392348e-06
38-1456-03,-2.9925061690436565e-06
38-1456-03,5.984713849870047e-06
38-1456-03,-8.976620750320961e-06
38-1456-03,5.984113853270785e-06
38-1456-03,-2.9919069515339094e-06
38-1456-03,0.0
38-1456-03,-2.9916085977152503e-06
38-1456-03,2.991459443118754e-06
38-1456-03,0.0
38-1456-03,2.9911611785403065e-06
38-1456-03,-2.9910617712249147e-06
38-1456-03,-2.990962370516648e-06
38-1456-03,2.990862973433091e-06
38-1456-03,0.0
38-1456-03,2.9906624549908362e-06
38-1456-03,-2.9905622073425677e-06
38-1456-03,-2.99041315706637e-06
38-1456-03,2.990264121646829e-06
38-1456-03,0.0
38-1456-03,2.9899660953688313e-06
38-1456-03,0.0
38-1456-03,-2.989668128490812e-06
38-1456-03,-2.9895191673212437e-06
38-1456-03,2.9893702209950127e-06
38-1456-03,2.9892212895098987e-06
38-1456-03,-5.97814474572737e-06
38-1456-03,2.988923471054152e-06
38-1456-03,-2.988774584079085e-06
38-1456-03,2.9886249378398834e-06
38-1456-03,0.0
38-1456-03,2.988325684359796e-06
38-1456-03,-2.98817685693228e-06
38-1456-03,-2.988028044328115e-06
38-1456-03,2.9878792465450857e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,2.986986770966818e-06
38-1456-03,-2.986838076869774e-06
38-1456-03,0.0
38-1456-03,0.0
38-1456-03,-2.9863920833904175e-06
38-1456-03,5.9724851550739346e-06
38-1456-03,0.0
38-1456-03,0.0
